title,category,summary,authors
Model-agnostic interpretation by visualization of feature perturbations,Machine Learning,"Interpretation of machine learning models has become one of the most
important research topics due to the necessity of maintaining control and
avoiding bias in these algorithms. Since many machine learning algorithms are
published every day, there is a need for novel model-agnostic interpretation
approaches that could be used to interpret a great variety of algorithms. Thus,
one advantageous way to interpret machine learning models is to feed different
input data to understand the changes in the prediction. Using such an approach,
practitioners can define relations among data patterns and a model's decision.
This work proposes a model-agnostic interpretation approach that uses
visualization of feature perturbations induced by the PSO algorithm. We
validate our approach on publicly available datasets, showing the capability to
enhance the interpretation of different classifiers while yielding very stable
results compared with state-of-the-art algorithms.","['Wilson E. Marcílio-Jr', 'Danilo M. Eler', 'Fabrício Breve']"
Preliminary Report on WASP 2.0,Artificial Intelligence,"Answer Set Programming (ASP) is a declarative programming paradigm. The
intrinsic complexity of the evaluation of ASP programs makes the development of
more effective and faster systems a challenging research topic. This paper
reports on the recent improvements of the ASP solver WASP. WASP is undergoing a
refactoring process which will end up in the release of a new and more
performant version of the software. In particular the paper focus on the
improvements to the core evaluation algorithms working on normal programs. A
preliminary experiment on benchmarks from the 3rd ASP competition belonging to
the NP class is reported. The previous version of WASP was often not
competitive with alternative solutions on this class. The new version of WASP
shows a substantial increase in performance.","['Mario Alviano', 'Carmine Dodaro', 'Francesco Ricca']"
"An Adaptive Dimension Reduction Estimation Method for High-dimensional
  Bayesian Optimization",Machine Learning (Statistics),"Bayesian optimization (BO) has shown impressive results in a variety of
applications within low-to-moderate dimensional Euclidean spaces. However,
extending BO to high-dimensional settings remains a significant challenge. We
address this challenge by proposing a two-step optimization framework.
Initially, we identify the effective dimension reduction (EDR) subspace for the
objective function using the minimum average variance estimation (MAVE) method.
Subsequently, we construct a Gaussian process model within this EDR subspace
and optimize it using the expected improvement criterion. Our algorithm offers
the flexibility to operate these steps either concurrently or in sequence. In
the sequential approach, we meticulously balance the exploration-exploitation
trade-off by distributing the sampling budget between subspace estimation and
function optimization, and the convergence rate of our algorithm in
high-dimensional contexts has been established. Numerical experiments validate
the efficacy of our method in challenging scenarios.","['Shouri Hu', 'Jiawei Li', 'Zhibo Cai']"
"Retrofitting Light-weight Language Models for Emotions using Supervised
  Contrastive Learning",Computation and Language (Natural Language Processing),"We present a novel retrofitting method to induce emotion aspects into
pre-trained language models (PLMs) such as BERT and RoBERTa. Our method updates
pre-trained network weights using contrastive learning so that the text
fragments exhibiting similar emotions are encoded nearby in the representation
space, and the fragments with different emotion content are pushed apart. While
doing so, it also ensures that the linguistic knowledge already present in PLMs
is not inadvertently perturbed. The language models retrofitted by our method,
i.e., BERTEmo and RoBERTaEmo, produce emotion-aware text representations, as
evaluated through different clustering and retrieval metrics. For the
downstream tasks on sentiment analysis and sarcasm detection, they perform
better than their pre-trained counterparts (about 1% improvement in F1-score)
and other existing approaches. Additionally, a more significant boost in
performance is observed for the retrofitted models over pre-trained ones in
few-shot learning setting.","['Sapan Shah', 'Sreedhar Reddy', 'Pushpak Bhattacharyya']"
Efficient Inference of Flexible Interaction in Spiking-neuron Networks,Machine Learning (Statistics),"Hawkes process provides an effective statistical framework for analyzing the
time-dependent interaction of neuronal spiking activities. Although utilized in
many real applications, the classic Hawkes process is incapable of modelling
inhibitory interactions among neurons. Instead, the nonlinear Hawkes process
allows for a more flexible influence pattern with excitatory or inhibitory
interactions. In this paper, three sets of auxiliary latent variables
(P\'{o}lya-Gamma variables, latent marked Poisson processes and sparsity
variables) are augmented to make functional connection weights in a Gaussian
form, which allows for a simple iterative algorithm with analytical updates. As
a result, an efficient expectation-maximization (EM) algorithm is derived to
obtain the maximum a posteriori (MAP) estimate. We demonstrate the accuracy and
efficiency performance of our algorithm on synthetic and real data. For real
neural recordings, we show our algorithm can estimate the temporal dynamics of
interaction and reveal the interpretable functional connectivity underlying
neural spike trains.","['Feng Zhou', 'Yixuan Zhang', 'Jun Zhu']"
"Vecchia Gaussian Process Ensembles on Internal Representations of Deep
  Neural Networks",Machine Learning (Statistics),"For regression tasks, standard Gaussian processes (GPs) provide natural
uncertainty quantification, while deep neural networks (DNNs) excel at
representation learning. We propose to synergistically combine these two
approaches in a hybrid method consisting of an ensemble of GPs built on the
output of hidden layers of a DNN. GP scalability is achieved via Vecchia
approximations that exploit nearest-neighbor conditional independence. The
resulting deep Vecchia ensemble not only imbues the DNN with uncertainty
quantification but can also provide more accurate and robust predictions. We
demonstrate the utility of our model on several datasets and carry out
experiments to understand the inner workings of the proposed method.","['Felix Jimenez', 'Matthias Katzfuss']"
Optimal Schatten-q and Ky-Fan-k Norm Rate of Low Rank Matrix Estimation,Machine Learning (Statistics),"In this paper, we consider low rank matrix estimation using either
matrix-version Dantzig Selector $\hat{A}_{\lambda}^d$ or matrix-version LASSO
estimator $\hat{A}_{\lambda}^L$. We consider sub-Gaussian measurements, $i.e.$,
the measurements $X_1,\ldots,X_n\in\mathbb{R}^{m\times m}$ have $i.i.d.$
sub-Gaussian entries. Suppose $\textrm{rank}(A_0)=r$. We proved that, when
$n\geq Cm[r^2\vee r\log(m)\log(n)]$ for some $C>0$, both $\hat{A}_{\lambda}^d$
and $\hat{A}_{\lambda}^L$ can obtain optimal upper bounds(except some
logarithmic terms) for estimation accuracy under spectral norm. By applying
metric entropy of Grassmann manifolds, we construct (near) matching minimax
lower bound for estimation accuracy under spectral norm. We also give upper
bounds and matching minimax lower bound(except some logarithmic terms) for
estimation accuracy under Schatten-q norm for every $1\leq q\leq\infty$. As a
direct corollary, we show both upper bounds and minimax lower bounds of
estimation accuracy under Ky-Fan-k norms for every $1\leq k\leq m$.",['Dong Xia']
Neural Network Model for Path-Planning of Robotic Rover Systems,Neural and Evolutionary Computing,"Today, robotics is an auspicious and fast-growing branch of technology that
involves the manufacturing, design, and maintenance of robot machines that can
operate in an autonomous fashion and can be used in a wide variety of
applications including space exploration, weaponry, household, and
transportation. More particularly, in space applications, a common type of
robots has been of widespread use in the recent years. It is called planetary
rover which is a robot vehicle that moves across the surface of a planet and
conducts detailed geological studies pertaining to the properties of the
landing cosmic environment. However, rovers are always impeded by obstacles
along the traveling path which can destabilize the rover's body and prevent it
from reaching its goal destination. This paper proposes an ANN model that
allows rover systems to carry out autonomous path-planning to successfully
navigate through challenging planetary terrains and follow their goal location
while avoiding dangerous obstacles. The proposed ANN is a multilayer network
made out of three layers: an input, a hidden, and an output layer. The network
is trained in offline mode using back-propagation supervised learning
algorithm. A software-simulated rover was experimented and it revealed that it
was able to follow the safest trajectory despite existing obstacles. As future
work, the proposed ANN is to be parallelized so as to speed-up the execution
time of the training process.",['Youssef Bassil']
"Construction of Rough graph to handle uncertain pattern from an
  Information System",Artificial Intelligence,"Rough membership function defines the measurement of relationship between
conditional and decision attribute from an Information system. In this paper we
propose a new method to construct rough graph through rough membership function
$\omega_{G}^F(f)$. Rough graph identifies the pattern between the objects with
imprecise and uncertain information. We explore the operations and properties
of rough graph in various stages of its structure.","['R. Aruna Devi', 'K. Anitha']"
"An Integrated Inverse Space Sparse Representation Framework for Tumor
  Classification",Computer Vision and Pattern Recognition,"Microarray gene expression data-based tumor classification is an active and
challenging issue. In this paper, an integrated tumor classification framework
is presented, which aims to exploit information in existing available samples,
and focuses on the small sample problem and unbalanced classification problem.
Firstly, an inverse space sparse representation based classification (ISSRC)
model is proposed by considering the characteristics of gene-based tumor data,
such as sparsity and a small number of training samples. A decision information
factors (DIF)-based gene selection method is constructed to enhance the
representation ability of the ISSRC. It is worth noting that the DIF is
established from reducing clinical misdiagnosis rate and dimension of small
sample data. For further improving the representation ability and
classification stability of the ISSRC, feature learning is conducted on the
selected gene subset. The feature learning method is constructed by
complementing the advantages of non-negative matrix factorization (NMF) and
deep learning. Without confusion, the ISSRC combined with gene selection and
feature learning is called the integrated ISSRC, whose stability, optimization
and the corresponding convergence are analyzed. Extensive experiments on six
public microarray gene expression datasets show the integrated ISSRC-based
tumor classification framework is superior to classical and state-of-the-art
methods. There are significant improvements in classification accuracy,
specificity and sensitivity, whether there is a tumor in the early diagnosis,
what kind of tumor, or whether metastasis occurs after tumor surgery.","['Xiaohui Yang', 'Wenming Wu', 'Yunmei Chen', 'Xianqi Li', 'Juan Zhang', 'Dan Long', 'Lijun Yang']"
"Explaining Deep Tractable Probabilistic Models: The sum-product network
  case",Machine Learning,"We consider the problem of explaining a class of tractable deep probabilistic
models, the Sum-Product Networks (SPNs) and present an algorithm ExSPN to
generate explanations. To this effect, we define the notion of a
context-specific independence tree(CSI-tree) and present an iterative algorithm
that converts an SPN to a CSI-tree. The resulting CSI-tree is both
interpretable and explainable to the domain expert. We achieve this by
extracting the conditional independencies encoded by the SPN and approximating
the local context specified by the structure of the SPN. Our extensive
empirical evaluations on synthetic, standard, and real-world clinical data sets
demonstrate that the CSI-tree exhibits superior explainability.","['Athresh Karanam', 'Saurabh Mathur', 'Predrag Radivojac', 'David M. Haas', 'Kristian Kersting', 'Sriraam Natarajan']"
Compressive Embedding and Visualization using Graphs,Machine Learning,"Visualizing high-dimensional data has been a focus in data analysis
communities for decades, which has led to the design of many algorithms, some
of which are now considered references (such as t-SNE for example). In our era
of overwhelming data volumes, the scalability of such methods have become more
and more important. In this work, we present a method which allows to apply any
visualization or embedding algorithm on very large datasets by considering only
a fraction of the data as input and then extending the information to all data
points using a graph encoding its global similarity. We show that in most
cases, using only $\mathcal{O}(\log(N))$ samples is sufficient to diffuse the
information to all $N$ data points. In addition, we propose quantitative
methods to measure the quality of embeddings and demonstrate the validity of
our technique on both synthetic and real-world datasets.","['Johan Paratte', 'Nathanaël Perraudin', 'Pierre Vandergheynst']"
Robust Depth-based Person Re-identification,Computer Vision and Pattern Recognition,"Person re-identification (re-id) aims to match people across non-overlapping
camera views. So far the RGB-based appearance is widely used in most existing
works. However, when people appeared in extreme illumination or changed
clothes, the RGB appearance-based re-id methods tended to fail. To overcome
this problem, we propose to exploit depth information to provide more invariant
body shape and skeleton information regardless of illumination and color
change. More specifically, we exploit depth voxel covariance descriptor and
further propose a locally rotation invariant depth shape descriptor called
Eigen-depth feature to describe pedestrian body shape. We prove that the
distance between any two covariance matrices on the Riemannian manifold is
equivalent to the Euclidean distance between the corresponding Eigen-depth
features. Furthermore, we propose a kernelized implicit feature transfer scheme
to estimate Eigen-depth feature implicitly from RGB image when depth
information is not available. We find that combining the estimated depth
features with RGB-based appearance features can sometimes help to better reduce
visual ambiguities of appearance features caused by illumination and similar
clothes. The effectiveness of our models was validated on publicly available
depth pedestrian datasets as compared to related methods for person
re-identification.","['Ancong Wu', 'Wei-Shi Zheng', 'Jianhuang Lai']"
Enhancing the Association in Multi-Object Tracking via Neighbor Graph,Computer Vision and Pattern Recognition,"Most modern multi-object tracking (MOT) systems follow the
tracking-by-detection paradigm. It first localizes the objects of interest,
then extracting their individual appearance features to make data association.
The individual features, however, are susceptible to the negative effects as
occlusions, illumination variations and inaccurate detections, thus resulting
in the mismatch in the association inference. In this work, we propose to
handle this problem via making full use of the neighboring information. Our
motivations derive from the observations that people tend to move in a group.
As such, when an individual target's appearance is seriously changed, we can
still identify it with the help of its neighbors. To this end, we first utilize
the spatio-temporal relations produced by the tracking self to efficiently
select suitable neighbors for the targets. Subsequently, we construct neighbor
graph of the target and neighbors then employ the graph convolution networks
(GCN) to learn the graph features. To the best of our knowledge, it is the
first time to exploit neighbor cues via GCN in MOT. Finally, we test our
approach on the MOT benchmarks and achieve state-of-the-art performance in
online tracking.","['Tianyi Liang', 'Long Lan', 'Zhigang Luo']"
"DECOrrelated feature space partitioning for distributed sparse
  regression",Methodology (Statistics),"Fitting statistical models is computationally challenging when the sample
size or the dimension of the dataset is huge. An attractive approach for
down-scaling the problem size is to first partition the dataset into subsets
and then fit using distributed algorithms. The dataset can be partitioned
either horizontally (in the sample space) or vertically (in the feature space).
While the majority of the literature focuses on sample space partitioning,
feature space partitioning is more effective when $p\gg n$. Existing methods
for partitioning features, however, are either vulnerable to high correlations
or inefficient in reducing the model dimension. In this paper, we solve these
problems through a new embarrassingly parallel framework named DECO for
distributed variable selection and parameter estimation. In DECO, variables are
first partitioned and allocated to $m$ distributed workers. The decorrelated
subset data within each worker are then fitted via any algorithm designed for
high-dimensional problems. We show that by incorporating the decorrelation
step, DECO can achieve consistent variable selection and parameter estimation
on each subset with (almost) no assumptions. In addition, the convergence rate
is nearly minimax optimal for both sparse and weakly sparse models and does NOT
depend on the partition number $m$. Extensive numerical experiments are
provided to illustrate the performance of the new framework.","['Xiangyu Wang', 'David Dunson', 'Chenlei Leng']"
Semantic Video Segmentation by Gated Recurrent Flow Propagation,Computer Vision and Pattern Recognition,"Semantic video segmentation is challenging due to the sheer amount of data
that needs to be processed and labeled in order to construct accurate models.
In this paper we present a deep, end-to-end trainable methodology to video
segmentation that is capable of leveraging information present in unlabeled
data in order to improve semantic estimates. Our model combines a convolutional
architecture and a spatio-temporal transformer recurrent layer that are able to
temporally propagate labeling information by means of optical flow, adaptively
gated based on its locally estimated uncertainty. The flow, the recognition and
the gated temporal propagation modules can be trained jointly, end-to-end. The
temporal, gated recurrent flow propagation component of our model can be
plugged into any static semantic segmentation architecture and turn it into a
weakly supervised video processing one. Our extensive experiments in the
challenging CityScapes and Camvid datasets, and based on multiple deep
architectures, indicate that the resulting model can leverage unlabeled
temporal frames, next to a labeled one, in order to improve both the video
segmentation accuracy and the consistency of its temporal labeling, at no
additional annotation cost and with little extra computation.","['David Nilsson', 'Cristian Sminchisescu']"
"Harmonic analysis on directed graphs and applications: from Fourier
  analysis to wavelets",Functional Analysis,"We introduce a novel harmonic analysis for functions defined on the vertices
of a strongly connected directed graph of which the random walk operator is the
cornerstone. As a first step, we consider the set of eigenvectors of the random
walk operator as a non-orthogonal Fourier-type basis for functions over
directed graphs. We found a frequency interpretation by linking the variation
of the eigenvectors of the random walk operator obtained from their Dirichlet
energy to the real part of their associated eigenvalues. From this Fourier
basis, we can proceed further and build multi-scale analyses on directed
graphs. We propose both a redundant wavelet transform and a decimated wavelet
transform by extending the diffusion wavelets framework by Coifman and Maggioni
for directed graphs. The development of our harmonic analysis on directed
graphs thus leads us to consider both semi-supervised learning problems and
signal modeling problems on graphs applied to directed graphs highlighting the
efficiency of our framework.","['Harry Sevi', 'Gabriel Rilling', 'Pierre Borgnat']"
"FedDQ: Communication-Efficient Federated Learning with Descending
  Quantization",Machine Learning,"Federated learning (FL) is an emerging learning paradigm without violating
users' privacy. However, large model size and frequent model aggregation cause
serious communication bottleneck for FL. To reduce the communication volume,
techniques such as model compression and quantization have been proposed.
Besides the fixed-bit quantization, existing adaptive quantization schemes use
ascending-trend quantization, where the quantization level increases with the
training stages. In this paper, we first investigate the impact of quantization
on model convergence, and show that the optimal quantization level is directly
related to the range of the model updates. Given the model is supposed to
converge with the progress of the training, the range of the model updates will
gradually shrink, indicating that the quantization level should decrease with
the training stages. Based on the theoretical analysis, a descending
quantization scheme named FedDQ is proposed. Experimental results show that the
proposed descending quantization scheme can save up to 65.2% of the
communicated bit volume and up to 68% of the communication rounds, when
compared with existing schemes.","['Linping Qu', 'Shenghui Song', 'Chi-Ying Tsui']"
"Jointly spatial-temporal representation learning for individual
  trajectories",Machine Learning,"Individual trajectories, rich in human-environment interaction information
across space and time, serve as vital inputs for geospatial foundation models
(GeoFMs). However, existing attempts at learning trajectory representations
have overlooked the implicit spatial-temporal dependency within trajectories,
failing to encode such dependency in a deep learning-friendly format. That
poses a challenge in obtaining general-purpose trajectory representations.
Therefore, this paper proposes a spatial-temporal joint representation learning
method (ST-GraphRL) to formalize learnable spatial-temporal dependencies into
trajectory representations. The proposed ST-GraphRL consists of three
compositions: (i) a weighted directed spatial-temporal graph to explicitly
construct mobility interactions in both space and time dimensions; (ii) a
two-stage jointly encoder (i.e., decoupling and fusion), to learn entangled
spatial-temporal dependencies by independently decomposing and jointly
aggregating space and time information; (iii) a decoder guides ST-GraphRL to
learn explicit mobility regularities by simulating the spatial-temporal
distributions of trajectories. Tested on three real-world human mobility
datasets, the proposed ST-GraphRL outperformed all the baseline models in
predicting movement spatial-temporal distributions and preserving trajectory
similarity with high spatial-temporal correlations. Analyzing spatial-temporal
features presented in latent space validates that ST-GraphRL understands
spatial-temporal patterns. This study may also benefit representation learnings
of other geospatial data to achieve general-purpose data representations and
advance GeoFMs development.","['Fei Huang', 'Jianrong Lv', 'Yang Yue']"
Speeding up Deep Model Training by Sharing Weights and Then Unsharing,Machine Learning,"We propose a simple and efficient approach for training the BERT model. Our
approach exploits the special structure of BERT that contains a stack of
repeated modules (i.e., transformer encoders). Our proposed approach first
trains BERT with the weights shared across all the repeated modules till some
point. This is for learning the commonly shared component of weights across all
repeated layers. We then stop weight sharing and continue training until
convergence. We present theoretic insights for training by sharing weights then
unsharing with analysis for simplified models. Empirical experiments on the
BERT model show that our method yields better performance of trained models,
and significantly reduces the number of training iterations.","['Shuo Yang', 'Le Hou', 'Xiaodan Song', 'Qiang Liu', 'Denny Zhou']"
"Adaptive Population-based Simulated Annealing for Uncertain Resource
  Constrained Job Scheduling",Neural and Evolutionary Computing,"Transporting ore from mines to ports is of significant interest in mining
supply chains. These operations are commonly associated with growing costs and
a lack of resources. Large mining companies are interested in optimally
allocating their resources to reduce operational costs. This problem has been
previously investigated in the literature as resource constrained job
scheduling (RCJS). While a number of optimisation methods have been proposed to
tackle the deterministic problem, the uncertainty associated with resource
availability, an inevitable challenge in mining operations, has received less
attention. RCJS with uncertainty is a hard combinatorial optimisation problem
that cannot be solved efficiently with existing optimisation methods. This
study proposes an adaptive population-based simulated annealing algorithm that
can overcome the limitations of existing methods for RCJS with uncertainty
including the premature convergence, the excessive number of hyper-parameters,
and the inefficiency in coping with different uncertainty levels. This new
algorithm is designed to effectively balance exploration and exploitation, by
using a population, modifying the cooling schedule in the Metropolis-Hastings
algorithm, and using an adaptive mechanism to select perturbation operators.
The results show that the proposed algorithm outperforms existing methods
across a wide range of benchmark RCJS instances and uncertainty levels.
Moreover, new best known solutions are discovered for all but one problem
instance across all uncertainty levels.","['Dhananjay Thiruvady', 'Su Nguyen', 'Yuan Sun', 'Fatemeh Shiri', 'Nayyar Zaidi', 'Xiaodong Li']"
"HSEvo: Elevating Automatic Heuristic Design with Diversity-Driven
  Harmony Search and Genetic Algorithm Using LLMs",Neural and Evolutionary Computing,"Automatic Heuristic Design (AHD) is an active research area due to its
utility in solving complex search and NP-hard combinatorial optimization
problems in the real world. The recent advancements in Large Language Models
(LLMs) introduce new possibilities by coupling LLMs with evolutionary
computation to automatically generate heuristics, known as LLM-based
Evolutionary Program Search (LLM-EPS). While previous LLM-EPS studies obtained
great performance on various tasks, there is still a gap in understanding the
properties of heuristic search spaces and achieving a balance between
exploration and exploitation, which is a critical factor in large heuristic
search spaces. In this study, we address this gap by proposing two diversity
measurement metrics and perform an analysis on previous LLM-EPS approaches,
including FunSearch, EoH, and ReEvo. Results on black-box AHD problems reveal
that while EoH demonstrates higher diversity than FunSearch and ReEvo, its
objective score is unstable. Conversely, ReEvo's reflection mechanism yields
good objective scores but fails to optimize diversity effectively. With this
finding in mind, we introduce HSEvo, an adaptive LLM-EPS framework that
maintains a balance between diversity and convergence with a harmony search
algorithm. Through experimentation, we find that HSEvo achieved high diversity
indices and good objective scores while remaining cost-effective. These results
underscore the importance of balancing exploration and exploitation and
understanding heuristic search spaces in designing frameworks in LLM-EPS.","['Pham Vu Tuan Dat', 'Long Doan', 'Huynh Thi Thanh Binh']"
Neural Architecture Search using Progressive Evolution,Neural and Evolutionary Computing,"Vanilla neural architecture search using evolutionary algorithms (EA)
involves evaluating each architecture by training it from scratch, which is
extremely time-consuming. This can be reduced by using a supernet to estimate
the fitness of every architecture in the search space due to its weight sharing
nature. However, the estimated fitness is very noisy due to the co-adaptation
of the operations in the supernet. In this work, we propose a method called
pEvoNAS wherein the whole neural architecture search space is progressively
reduced to smaller search space regions with good architectures. This is
achieved by using a trained supernet for architecture evaluation during the
architecture search using genetic algorithm to find search space regions with
good architectures. Upon reaching the final reduced search space, the supernet
is then used to search for the best architecture in that search space using
evolution. The search is also enhanced by using weight inheritance wherein the
supernet for the smaller search space inherits its weights from previous
trained supernet for the bigger search space. Exerimentally, pEvoNAS gives
better results on CIFAR-10 and CIFAR-100 while using significantly less
computational resources as compared to previous EA-based methods. The code for
our paper can be found in https://github.com/nightstorm0909/pEvoNAS","['Nilotpal Sinha', 'Kuan-Wen Chen']"
"Safety through Permissibility: Shield Construction for Fast and Safe
  Reinforcement Learning",Machine Learning,"Designing Reinforcement Learning (RL) solutions for real-life problems
remains a significant challenge. A major area of concern is safety. ""Shielding""
is a popular technique to enforce safety in RL by turning user-defined safety
specifications into safe agent behavior. However, these methods either suffer
from extreme learning delays, demand extensive human effort in designing models
and safe domains in the problem, or require pre-computation. In this paper, we
propose a new permissibility-based framework to deal with safety and shield
construction. Permissibility was originally designed for eliminating
(non-permissible) actions that will not lead to an optimal solution to improve
RL training efficiency. This paper shows that safety can be naturally
incorporated into this framework, i.e. extending permissibility to include
safety, and thereby we can achieve both safety and improved efficiency.
Experimental evaluation using three standard RL applications shows the
effectiveness of the approach.","['Alexander Politowicz', 'Sahisnu Mazumder', 'Bing Liu']"
"Hypergraph Random Walks, Laplacians, and Clustering",Machine Learning,"We propose a flexible framework for clustering hypergraph-structured data
based on recently proposed random walks utilizing edge-dependent vertex
weights. When incorporating edge-dependent vertex weights (EDVW), a weight is
associated with each vertex-hyperedge pair, yielding a weighted incidence
matrix of the hypergraph. Such weightings have been utilized in term-document
representations of text data sets. We explain how random walks with EDVW serve
to construct different hypergraph Laplacian matrices, and then develop a suite
of clustering methods that use these incidence matrices and Laplacians for
hypergraph clustering. Using several data sets from real-life applications, we
compare the performance of these clustering algorithms experimentally against a
variety of existing hypergraph clustering methods. We show that the proposed
methods produce higher-quality clusters and conclude by highlighting avenues
for future work.","['Koby Hayashi', 'Sinan G. Aksoy', 'Cheong Hee Park', 'Haesun Park']"
"CPU- and GPU-based Distributed Sampling in Dirichlet Process Mixtures
  for Large-scale Analysis",Machine Learning,"In the realm of unsupervised learning, Bayesian nonparametric mixture models,
exemplified by the Dirichlet Process Mixture Model (DPMM), provide a principled
approach for adapting the complexity of the model to the data. Such models are
particularly useful in clustering tasks where the number of clusters is
unknown. Despite their potential and mathematical elegance, however, DPMMs have
yet to become a mainstream tool widely adopted by practitioners. This is
arguably due to a misconception that these models scale poorly as well as the
lack of high-performance (and user-friendly) software tools that can handle
large datasets efficiently. In this paper we bridge this practical gap by
proposing a new, easy-to-use, statistical software package for scalable DPMM
inference. More concretely, we provide efficient and easily-modifiable
implementations for high-performance distributed sampling-based inference in
DPMMs where the user is free to choose between either a multiple-machine,
multiple-core, CPU implementation (written in Julia) and a multiple-stream GPU
implementation (written in CUDA/C++). Both the CPU and GPU implementations come
with a common (and optional) python wrapper, providing the user with a single
point of entry with the same interface. On the algorithmic side, our
implementations leverage a leading DPMM sampler from (Chang and Fisher III,
2013). While Chang and Fisher III's implementation (written in MATLAB/C++) used
only CPU and was designed for a single multi-core machine, the packages we
proposed here distribute the computations efficiently across either multiple
multi-core machines or across mutiple GPU streams. This leads to speedups,
alleviates memory and storage limitations, and lets us fit DPMMs to
significantly larger datasets and of higher dimensionality than was possible
previously by either (Chang and Fisher III, 2013) or other DPMM methods.","['Or Dinari', 'Raz Zamir', 'John W. Fisher III', 'Oren Freifeld']"
"Align, Mask and Select: A Simple Method for Incorporating Commonsense
  Knowledge into Language Representation Models",Computation and Language (Natural Language Processing),"The state-of-the-art pre-trained language representation models, such as
Bidirectional Encoder Representations from Transformers (BERT), rarely
incorporate commonsense knowledge or other knowledge explicitly. We propose a
pre-training approach for incorporating commonsense knowledge into language
representation models. We construct a commonsense-related multi-choice question
answering dataset for pre-training a neural language representation model. The
dataset is created automatically by our proposed ""align, mask, and select""
(AMS) method. We also investigate different pre-training tasks. Experimental
results demonstrate that pre-training models using the proposed approach
followed by fine-tuning achieve significant improvements over previous
state-of-the-art models on two commonsense-related benchmarks, including
CommonsenseQA and Winograd Schema Challenge. We also observe that fine-tuned
models after the proposed pre-training approach maintain comparable performance
on other NLP tasks, such as sentence classification and natural language
inference tasks, compared to the original BERT models. These results verify
that the proposed approach, while significantly improving commonsense-related
NLP tasks, does not degrade the general language representation capabilities.","['Zhi-Xiu Ye', 'Qian Chen', 'Wen Wang', 'Zhen-Hua Ling']"
Calibrated Model-Based Deep Reinforcement Learning,Machine Learning,"Estimates of predictive uncertainty are important for accurate model-based
planning and reinforcement learning. However, predictive
uncertainties---especially ones derived from modern deep learning systems---can
be inaccurate and impose a bottleneck on performance. This paper explores which
uncertainties are needed for model-based reinforcement learning and argues that
good uncertainties must be calibrated, i.e. their probabilities should match
empirical frequencies of predicted events. We describe a simple way to augment
any model-based reinforcement learning agent with a calibrated model and show
that doing so consistently improves planning, sample complexity, and
exploration. On the \textsc{HalfCheetah} MuJoCo task, our system achieves
state-of-the-art performance using 50\% fewer samples than the current leading
approach. Our findings suggest that calibration can improve the performance of
model-based reinforcement learning with minimal computational and
implementation overhead.","['Ali Malik', 'Volodymyr Kuleshov', 'Jiaming Song', 'Danny Nemer', 'Harlan Seymour', 'Stefano Ermon']"
"Hierarchical Reinforcement Learning: Approximating Optimal Discounted
  TSP Using Local Policies",Machine Learning,"In this work, we provide theoretical guarantees for reward decomposition in
deterministic MDPs. Reward decomposition is a special case of Hierarchical
Reinforcement Learning, that allows one to learn many policies in parallel and
combine them into a composite solution. Our approach builds on mapping this
problem into a Reward Discounted Traveling Salesman Problem, and then deriving
approximate solutions for it. In particular, we focus on approximate solutions
that are local, i.e., solutions that only observe information about the current
state. Local policies are easy to implement and do not require substantial
computational resources as they do not perform planning. While local
deterministic policies, like Nearest Neighbor, are being used in practice for
hierarchical reinforcement learning, we propose three stochastic policies that
guarantee better performance than any deterministic policy.","['Tom Zahavy', 'Avinatan Hasidim', 'Haim Kaplan', 'Yishay Mansour']"
"Optimization Methods for Interpretable Differentiable Decision Trees in
  Reinforcement Learning",Machine Learning,"Decision trees are ubiquitous in machine learning for their ease of use and
interpretability. Yet, these models are not typically employed in reinforcement
learning as they cannot be updated online via stochastic gradient descent. We
overcome this limitation by allowing for a gradient update over the entire tree
that improves sample complexity affords interpretable policy extraction. First,
we include theoretical motivation on the need for policy-gradient learning by
examining the properties of gradient descent over differentiable decision
trees. Second, we demonstrate that our approach equals or outperforms a neural
network on all domains and can learn discrete decision trees online with
average rewards up to 7x higher than a batch-trained decision tree. Third, we
conduct a user study to quantify the interpretability of a decision tree, rule
list, and a neural network with statistically significant results ($p <
0.001$).","['Andrew Silva', 'Taylor Killian', 'Ivan Dario Jimenez Rodriguez', 'Sung-Hyun Son', 'Matthew Gombolay']"
R-MADDPG for Partially Observable Environments and Limited Communication,Multiagent Systems,"There are several real-world tasks that would benefit from applying
multiagent reinforcement learning (MARL) algorithms, including the coordination
among self-driving cars. The real world has challenging conditions for
multiagent learning systems, such as its partial observable and nonstationary
nature. Moreover, if agents must share a limited resource (e.g. network
bandwidth) they must all learn how to coordinate resource use. This paper
introduces a deep recurrent multiagent actor-critic framework (R-MADDPG) for
handling multiagent coordination under partial observable set-tings and limited
communication. We investigate recurrency effects on performance and
communication use of a team of agents. We demonstrate that the resulting
framework learns time dependencies for sharing missing observations, handling
resource limitations, and developing different communication patterns among
agents.","['Rose E. Wang', 'Michael Everett', 'Jonathan P. How']"
